clean_message,label
is the hurricane over or is it not over,storm
storm at sacred heart of jesus,storm
theres nothing to eat and water we starving and thirsty,floods
i would like to know if the earthquake is over thanks,earthquake
people from dal blocked since wednesday in carrefour we having water shortage food and medical assistance,earthquake
for your information there are people that are found in the rubbles of the school of trinite lecole sainte trinite in jacmel cookies brought to them by colombian dogs are keeping them alive,storm
some people are sleeping outside on a field at lilavois and are dying of hunger since january th,earthquake
a cold front is found over cuba this morning it could cross haiti tomorrow isolated rain showers are expected over our region tonight,floods
please we need help food and toiletries,floods
the message might be saying that they have been stuck in the presidential palace pal since the same tuesday as the quake they need water the message says they are not finding a little water no names no number of people given,earthquake
i woul like to know if aide is only available in pap as the provinces where badly hit as well,floods
we have a factory that is on fire on road to the airport near sogebank its starting to burn several nearby houses with documents left in them please come and help us,fire
i am in petion ville in b incomprehensible we have no water there is nothing there is no money what is being given in petion ville and where,floods
theres a fire at the perpetuel secours church please send firefighters,fire
i am from anse a pitree my house which was in delmas was destroyed with everything i had inside i went back to my hometown of anse a pitrea i would like to know how to get some help because i have absolutely nothing,earthquake
can people enter their houses when will we have electricity,floods
everyone do not forget the people of merger we dont have any water we are hungry if it rains we will all die,storm
talk to me about the earthquake please,earthquake
please we are in nazon sylvio cator street we need water food and other truncated,floods
good morning to everyone that is listening in miami and other countries helping i have my wife and five kids that will starve to death in haiti if they do not get help please help them god will bless you,fire
we have a lot of problems at cap haitian the hospital cannot take anymore people come help us please,floods
we are from leogane st mathieu we need food and water and shelter because of the rain,storm
good evening please can you help me since the earthquake i left portauprince i wonder if you can give me a digicel card so that i can call my family parents,earthquake
my friend i have heard nothing again i have a lot of problems what u give ill take i am in jeremi i want u to help me,floods
i need all types of help for the people who survived the earthquake,earthquake
since the disaster i have been staying at a friends house in st mark i live in carrefour but my house was destroyed and i lost everything i am having difficulty living because i have nothing,floods
please give me some info on every aftershock this is a message,earthquake
apparently theres a wave of cold upon cuba this morning it could go across haiti this morning there will be rain for today in our region,storm
i am not in town i am outside in a zone called dezam komin veret in the artibonite we have been hit this morning by an earthquake and the house has crumbled please help,earthquake
emergency aid needed at the centre flore for damien on the grounds pampak of the unibank,earthquake
need help as our houses have been destroyed at delmas we are now staying at thomassin,storm
pewoden fifth section of the departemen of lartibonite is lettin u know today the plan we have for those injured in the eartquake like many of those in p,earthquake
after the earthquake i cannot call any body even when i ihave signal,earthquake
after the earthquake i canot talk to nobody even at,earthquake
please help us we are hungry and thirsty in siko if it goes on any longer we will all die,floods
i would like for you to come to haiti ive suffered too much i cannot take it anymore i have no internet where im at write on the phone please,earthquake
we need help water and food merger on leogane roadmerger could also mean when the road merge not sure,floods
people from grand goave would like to ask the authorities if they are not human being like the rest of the peple on the island they had no help since january,floods
we need help in carrefour the area is devastated and we have a lot of problem since the quake,earthquake
we have no more water in mariani after carrefour,floods
my mom and dad are blind im sick with an ulcer my stomach hurts,floods
inform that he earthquale on jnauary th has cost huge loss of life and left more than refugees for that reasons we are asking your,earthquake
theyre announcing a lot of rain for haiti tomorrow,storm
see what you can do for me my house is destroyed i am starving for food i live in mariani carrefour i cannot take it anymore help,floods
a lot of victims arrive at the hospital erez marchand dessalinestheres a lot of doctor volunteers in place,earthquake
we are located in rue stmartin close to ruelle mariela we need help because since the earthquake we sleep in the streets we need water food tents for the committee sta note message truncated call for details,earthquake
where we are we cant find anything not even a little water or help,floods
need some help please we ar at carrefour pernier please verify location,floods
we are in needs since the earthquake we do not have any assistance everything that we have is finished we are in b ten,earthquake
clothing food and tents because the sun and the rain are giving us a really hard time incomplete,storm
theres a place in leogane called kachandl where there are lots of collapsed homes most of the people make their home with blankets as tents plus we havent received any help,earthquake
at village solidarite these people have nothing there a little baby needs to be fed no food please no kotex available for women that have their period and lots of other problems please help,floods
i have a problem talking to people in port au prince please its talking to people god bless us,fire
i live in gonaives i need help for the hospital in raboto we need water food and medication because we have a thousand people who need medical attention right now,floods
a cold front is on cuba this morning it might hit haiti tomorrow lots of isolated intense rain showers are predicted for our region tonight incomplete beginning of a message,storm
hello please i would like to join my family in the us,floods
we are hungry we have nothing to eat since the earthquake happened we have not received anything we are in carrefour in the area of bertin,earthquake
i salute all those that are in charge at digicel in the name of god i am a client of digicel who is a victim of the earthquake that happened on january i have problem my house is cracked i would like to go to jeremie notes no name or location given,earthquake
we are a committee that works to help the victims of the earthquake we are in mange where we have a lot of people that are victims but our biggest problem is the children that are suffering personal note mange is a slum area by the ocean accross from the bolosse and martissant area,earthquake
im in portauprince everyone tells me need food currently i am living in portauprince we are hungry please save us this text did not give a specific location except for portauprince,earthquake
i am found im in cap haitian my house in portauprince is destroyed,earthquake
i am a rural inhabitant from bon repos not far from la plaine in that area we did not receive any help from the authorities we have a lot of children who sleep outside openly andor in the rain please we need tent for shelter,storm
we need water food and tents for the rain we are on the freres road at impasse dorsainvil,storm
after the earthquake many of our felllow country men left port au prince escaped now they return with empty hands and ask us to come with people,earthquake
we need help before the catastrophe january it has already been two weeks the rain that all our plantation with a lot of animals goats pigs cattle,storm
requesting govement to set solar panel energy then communication will be clear we are in trouble,earthquake
my friends we are asking for water and food,floods
i greet you all im a digicel client i was a victim of the quake of january im writing this message just to see if you guys can help,earthquake
im on the road with family and children i dont have a home i sleeping near the adventist hospital diquini in carefour my house is destroyed please help me,storm
my house crushed my child im hungry and i dont have clean water to drink i need so much im in gresye between billy beach,earthquake
we dint receive nothing yet at plaine cul de sac located at santo empasse souverin number thanks,fire
we are very happy to have recieved an answer to our message we hope we will find help thank you god bless,floods
good evening we are from the survival comitte delma jack premye ri sengor in citron on the football field we need food rice peas and corn flour,floods
we are in leogane in the part at point of the river at this moment we cant get anything not even a little water we can find the water get dirty after every aftershock,earthquake
sos people in the city of bourdon in the area of avenue john brown bourdon,floods
where i am i cant leave theres no internet all houses are destroyed we cant save any paper because the house is flat were suffering where we are in aprimature,floods
we have been hit by the earthquake we have lost our homes we have nothing please we need help,earthquake
my house crumbled over myself and a month old baby hes still alive but i think hes hurt and needs medical attention,earthquake
as an informant how can you predict an earthquake in haiti,earthquake
i am a journalist i have a cold who said the earthquake was a magnitude of is this true can i share this message with the world on the radio,earthquake
i am a year old young haitian who witness the jan earthquake i am traumatize in a country with no work high cost of living,earthquake
the earthquake destroyed our homes in gonaives also kanal bwa th section,earthquake
i am a victim of the earthquake i need some help and money so i can go back home i could lease a,earthquake
was todays shake an aftershake or another earthquake,earthquake
how long will it take for the earthquake to end,earthquake
people are saying that there will be another earthquake like tuesday is this true yes or no,earthquake
are we going to have aftershock tonight if yes at what time,earthquake
it is that later there will be a aftershock people are scaring me,earthquake
message for radio inspiration fm good evening id like to know for those who have houses with zinc roofs can they enter in those houses espcially people in the la plaine area,earthquake
pleas will the earthquake really come back like before becaus that rumor is making me crazy than you in advance for you reply,earthquake
haiti informations on a possible new quake date jan,earthquake
these small quakes are there dangerouse if i live in a one floor concrete house can i sleep insidei live in pernier aplace that was not hit by the big erathquake,earthquake
since the earthquake were at delmas alaza street we havent recieve any assistance we dont have no shelter or no food please find a way to help us,earthquake
good evening is it possible for an aftershake to attain level and then last a long time such as minutes and more,earthquake
i would to have some information about the earthquake i will wait for your respond,earthquake
would like to know the death toll during the earthquake,earthquake
those areas outside of the city which had not been hit could they feel the aftershocks and what are they to do with the students,earthquake
evening is it true that there will be an aftershake as the first one,earthquake
i would like to know when the aftershocks are going to end thank you willy,earthquake
id like to know what will be done for police officers whose houses have broken down their families are very hungry some have died,earthquake
i would like to know if there will be aftershocks tonight because im nervous thank you,earthquake
when will these aftershocks finish,earthquake
good evening im one of the helpless victim please help me,storm
news and information on the earthquake in haiti,earthquake
how many aftershocks left will they be stronger,earthquake
i would like to know which precaution i should take for futur earthquakes,earthquake
they say theres a bigger earthquake who has to rock the country is it true,earthquake
person would like to knowwhat happened the day before with aftershock,earthquake
carefour feiulles zone savane pistache we havent received anything please send this message,fire
hello i am a victim of the quake i am sending the message because we need tents with food and water at village eden impasse desmangles,earthquake
you can send me somewhere to have a better life with the conviction msg lost,fire
hello id like to know if really there will be more earthquakes again this weekend,earthquake
were looking for more information concerning the earthquake,earthquake
i would like to know if its true that there is going to be an magnitude yearthquake,earthquake
i would like information on the earthquake when will the aftershocks end,earthquake
we are concerned because we heard that there is going to be an earthquake at in petite riviere de nippes,earthquake
i would like information on the last tremors of the earthquake thank you,earthquake
we have had problems since the earthquake there is no authority to help us and we havent been able to find water a lot of people are hurt we stared a comittee,earthquake
they the relief team never came by where we live in delmas we need water and food they never came by since the earthquake,earthquake
i heard there will be an earthquake at midnight,earthquake
i would like to know if we are going to get any more earthquakes like the one we had the st time around,earthquake
is there a possiblity that a stronger earthquake will hit haiti today,earthquake
who knows if the aftershocks will last for a month and a half,earthquake
i would like to know if there are going to be any more aftershocks like the one we had on january th,earthquake
i want more information about the earthquake,earthquake
i would like to know when the aftershocks will end,earthquake
when will these earthquakes stop,earthquake
i would like some information on the earthquake,earthquake
hello i am a student of lecole sorbonne the school has colapsed and im wounded my home is also destroyed and we havent found anything salvageable we need help please send help,storm
i would like to know if the earthquake will come again,earthquake
i would like more information on the earthquake,earthquake
i have many family members who were victims of the earthquake in pap on jan we need food at st marc chemin,earthquake
